date,category,ets_forecast,lgbm_residual_forecast,final_forecast
2023-11-02,Bakery,9421.443252708212,-654.0697781115311,8767.373474596681
2023-11-03,Bakery,11192.870463149397,-555.6366926967753,10637.233770452622
2023-11-04,Bakery,13633.342255969828,-1006.2782332510243,12627.064022718803
2023-11-05,Bakery,13067.411632902777,-582.2399117800634,12485.171721122713
2023-11-06,Bakery,9464.683092427766,40.000418314132205,9504.683510741897
2023-11-07,Bakery,8522.29201469547,253.26765432485848,8775.559669020327
2023-11-08,Bakery,8808.851557251302,-371.10937197019155,8437.742185281111
2023-11-09,Bakery,9421.443252708212,-565.6824429557264,8855.760809752486
2023-11-10,Bakery,11192.870463149397,-611.9499350361347,10580.920528113262
2023-11-11,Bakery,13633.342255969828,-1015.153636775757,12618.188619194072
2023-11-12,Bakery,13067.411632902777,-644.0648209502764,12423.3468119525
2023-11-13,Bakery,9464.683092427766,40.000418314132205,9504.683510741897
2023-11-14,Bakery,8522.29201469547,203.08642622355603,8725.378440919025
2023-11-15,Bakery,8808.851557251302,-371.10937197019155,8437.742185281111
2023-11-16,Bakery,9421.443252708212,-586.4890682411043,8834.954184467108
2023-11-17,Bakery,11192.870463149397,-606.7720181028635,10586.098445046533
2023-11-18,Bakery,13633.342255969828,-941.7669614672299,12691.575294502598
2023-11-19,Bakery,13067.411632902777,-580.0596289081059,12487.35200399467
2023-11-20,Bakery,9464.683092427766,19.193793028754303,9483.87688545652
2023-11-21,Bakery,8522.29201469547,203.08642622355603,8725.378440919025
2023-11-22,Bakery,8808.851557251302,-391.91599725556955,8416.935559995733
2023-11-23,Bakery,9421.443252708212,-606.7720181028635,8814.671234605348
2023-11-24,Bakery,11192.870463149397,-565.6824429557264,10627.18802019367
2023-11-25,Bakery,13633.342255969828,-921.4840116054705,12711.858244364357
2023-11-26,Bakery,13067.411632902777,-497.23117608675557,12570.18045681602
2023-11-27,Bakery,9464.683092427766,98.60043227641869,9563.283524704184
2023-11-28,Bakery,8522.29201469547,261.68644018584257,8783.978454881311
2023-11-29,Bakery,8808.851557251302,-312.50935800790506,8496.342199243398
2023-11-30,Bakery,9421.443252708212,-487.46457005148307,8933.978682656729
2023-12-01,Bakery,11192.870463149397,-495.6284483627094,10697.242014786687
2023-11-02,Beverages,8995.759744271314,-167.1866133442034,8828.57313092711
